Community District Name,Race,Year,Count
Brooklyn 2,White,2020,143
Brooklyn 3,Black,2020,163
Brooklyn 4,Hispanic,2020,159
Brooklyn 5,Black,2020,150
Brooklyn 6,White,2020,137
Brooklyn 7,Hispanic,2020,124
Brooklyn 8,Black,2020,92
Brooklyn 9,Black,2020,78
Brooklyn 10,White,2020,155
Brooklyn 11,Asian,2020,196
Brooklyn 12,White,2020,111
Brooklyn 13,White,2020,78
Brooklyn 14,Black,2020,119
Brooklyn 15,White,2020,161
Brooklyn 16,Black,2020,80
Brooklyn 17,Black,2020,105
Brooklyn 18,Black,2020,127
Queens 1,White,2020,260
Queens 2,Hispanic,2020,155
Queens 3,Hispanic,2020,136
Queens 4,Hispanic,2020,146
Queens 5,White,2020,239
Queens 6,White,2020,99
Queens 7,Asian,2020,176
Queens 8,Asian,2020,112
Queens 9,Hispanic,2020,142
Queens 10,Asian,2020,124
Queens 11,Asian,2020,81
Queens 12,Black,2020,221
Queens 13,Black,2020,121
Queens 14,Black,2020,81
Staten Island 1,White,2020,205
Staten Island 2,White,2020,147
Staten Island 3,White,2020,129
Manhattan 1,White,2021,202
Manhattan 2,White,2021,190
Manhattan 3,White,2021,255
Manhattan 4,White,2021,286
Manhattan 5,White,2021,417
Manhattan 6,White,2021,199
Manhattan 7,White,2021,185
Manhattan 8,White,2021,213
Manhattan 9,Black,2021,90
Manhattan 10,Black,2021,109
Manhattan 11,Hispanic,2021,126
Manhattan 12,Hispanic,2021,161
Bronx 1,Hispanic,2021,88
Bronx 2,Hispanic,2021,62
Bronx 3,Hispanic,2021,77
Bronx 4,Hispanic,2021,138
Bronx 5,Hispanic,2021,132
Bronx 6,Hispanic,2021,102
Bronx 7,White,2021,132
Bronx 8,Black,2021,76
Bronx 9,Hispanic,2021,135
Bronx 10,Hispanic,2021,139
Bronx 11,Hispanic,2021,129
Bronx 12,Black,2021,135
Brooklyn 1,White,2021,283
Brooklyn 2,White,2021,141
Brooklyn 3,Black,2021,166
Brooklyn 4,Hispanic,2021,159
Brooklyn 5,Black,2021,152
Brooklyn 6,White,2021,140
Brooklyn 7,Hispanic,2021,122
Brooklyn 8,Black,2021,92
Brooklyn 9,Black,2021,78
Brooklyn 10,White,2021,157
Brooklyn 11,Asian,2021,196
Brooklyn 12,White,2021,109
Brooklyn 13,White,2021,81
Brooklyn 14,Black,2021,120
Brooklyn 15,White,2021,166
Brooklyn 16,Black,2021,72
Brooklyn 17,Black,2021,100
Brooklyn 18,Black,2021,129
Queens 1,White,2021,261
Queens 2,Hispanic,2021,162
Queens 3,Hispanic,2021,137
Queens 4,Hispanic,2021,159
Queens 5,White,2021,252
Queens 6,White,2021,104
Queens 7,Asian,2021,181
Queens 8,Asian,2021,120
Queens 9,Hispanic,2021,143
Queens 10,Asian,2021,125
Queens 11,Asian,2021,87
Queens 12,Black,2021,229
Queens 13,Black,2021,131
Queens 14,Black,2021,84
Staten Island 1,White,2021,210
Staten Island 2,White,2021,144
Staten Island 3,White,2021,137
Manhattan 1,White,2022,170
Manhattan 2,White,2022,167
Manhattan 3,White,2022,221
Manhattan 4,White,2022,246
Manhattan 5,White,2022,353
Manhattan 6,White,2022,172
Manhattan 7,White,2022,163
Manhattan 8,White,2022,182
Manhattan 9,Black,2022,81
Manhattan 10,Black,2022,93
Manhattan 11,Hispanic,2022,105
Manhattan 12,Hispanic,2022,120
Bronx 1,Hispanic,2022,75
Bronx 2,Hispanic,2022,51
Bronx 3,Hispanic,2022,61
Bronx 4,Hispanic,2022,109
Bronx 5,Hispanic,2022,106
Bronx 6,Hispanic,2022,89
Bronx 7,White,2022,118
Bronx 8,Black,2022,66
Bronx 9,Hispanic,2022,98
Bronx 10,Hispanic,2022,127
Bronx 11,Hispanic,2022,114
Bronx 12,Black,2022,119
Brooklyn 1,White,2022,248
Brooklyn 2,White,2022,117
Brooklyn 3,Black,2022,136
Brooklyn 4,Hispanic,2022,137
Brooklyn 5,Black,2022,99
Brooklyn 6,White,2022,127
Brooklyn 7,Hispanic,2022,104
Brooklyn 8,Black,2022,78
Brooklyn 9,Black,2022,70
Brooklyn 10,White,2022,128
Brooklyn 11,Asian,2022,162
Brooklyn 12,White,2022,99
Brooklyn 13,White,2022,72
Brooklyn 14,Black,2022,100
Brooklyn 15,White,2022,137
Brooklyn 16,Black,2022,54
Brooklyn 17,Black,2022,81
Brooklyn 18,Black,2022,114
Queens 1,White,2022,229
Queens 2,Hispanic,2022,147
Queens 3,Hispanic,2022,119
Queens 4,Hispanic,2022,135
Queens 5,White,2022,214
Queens 6,White,2022,93
Queens 7,Asian,2022,163
Queens 8,Asian,2022,108
Queens 9,Hispanic,2022,123
Queens 10,Asian,2022,116
Queens 11,Asian,2022,71
Queens 12,Black,2022,190
Queens 13,Black,2022,105
Queens 14,Black,2022,70
Staten Island 1,White,2022,191
Staten Island 2,White,2022,126
Staten Island 3,White,2022,123
Manhattan 1,White,2023,166
Manhattan 2,White,2023,158
Manhattan 3,White,2023,192
Manhattan 4,White,2023,235
Manhattan 5,White,2023,330
Manhattan 6,White,2023,155
Manhattan 7,White,2023,142
Manhattan 8,White,2023,173
Manhattan 9,Black,2023,73
Manhattan 10,Black,2023,81
Manhattan 11,Hispanic,2023,90
Manhattan 12,Hispanic,2023,109
Bronx 1,Hispanic,2023,63
Bronx 2,Hispanic,2023,43
Bronx 3,Hispanic,2023,48
Bronx 4,Hispanic,2023,95
Bronx 5,Hispanic,2023,90
Bronx 6,Hispanic,2023,78
Bronx 7,White,2023,108
Bronx 8,Black,2023,57
Bronx 9,Hispanic,2023,92
Bronx 10,Hispanic,2023,113
Bronx 11,Hispanic,2023,103
Bronx 12,Black,2023,111
Brooklyn 1,White,2023,225
Brooklyn 2,White,2023,100
Brooklyn 3,Black,2023,115
Brooklyn 4,Hispanic,2023,125
Brooklyn 5,Black,2023,89
Brooklyn 6,White,2023,116
Brooklyn 7,Hispanic,2023,93
Brooklyn 8,Black,2023,60
Brooklyn 9,Black,2023,62
Brooklyn 10,White,2023,122
Brooklyn 11,Asian,2023,149
Brooklyn 12,White,2023,89
Brooklyn 13,White,2023,63
Brooklyn 14,Black,2023,93
Brooklyn 15,White,2023,120
Brooklyn 16,Black,2023,44
Brooklyn 17,Black,2023,75
Brooklyn 18,Black,2023,106
Queens 1,White,2023,212
Queens 2,Hispanic,2023,138
Queens 3,Hispanic,2023,114
Queens 4,Hispanic,2023,126
Queens 5,White,2023,204
Queens 6,White,2023,89
Queens 7,Asian,2023,159
Queens 8,Asian,2023,103
Queens 9,Hispanic,2023,112
Queens 10,Asian,2023,109
Queens 11,Asian,2023,65
Queens 12,Black,2023,164
Queens 13,Black,2023,95
Queens 14,Black,2023,67
Staten Island 1,White,2023,181
Staten Island 2,White,2023,125
Staten Island 3,White,2023,121
Manhattan 1,White,2024,138
Manhattan 2,White,2024,141
Manhattan 3,White,2024,163
Manhattan 4,White,2024,207
Manhattan 5,White,2024,289
Manhattan 6,White,2024,134
Manhattan 7,White,2024,113
Manhattan 8,White,2024,147
Manhattan 9,Black,2024,56
Manhattan 10,Black,2024,62
Manhattan 11,Hispanic,2024,71
Manhattan 12,Hispanic,2024,85
Bronx 1,Hispanic,2024,51
Bronx 2,Hispanic,2024,39
Bronx 3,Hispanic,2024,41
Bronx 4,Hispanic,2024,80
Bronx 5,Hispanic,2024,71
Bronx 6,Hispanic,2024,66
Bronx 7,White,2024,90
Bronx 8,Black,2024,48
Bronx 9,Hispanic,2024,69
Bronx 10,Hispanic,2024,102
Bronx 11,Hispanic,2024,82
Bronx 12,Black,2024,92
Brooklyn 1,White,2024,166
Brooklyn 2,White,2024,85
Brooklyn 3,Black,2024,95
Brooklyn 4,Hispanic,2024,95
Brooklyn 5,Black,2024,71
Brooklyn 6,White,2024,99
Brooklyn 7,Hispanic,2024,78
Brooklyn 8,Black,2024,45
Brooklyn 9,Black,2024,43
Brooklyn 10,White,2024,109
Brooklyn 11,Asian,2024,121
Brooklyn 12,White,2024,81
Brooklyn 13,White,2024,55
Brooklyn 14,Black,2024,78
Brooklyn 15,White,2024,95
Brooklyn 16,Black,2024,35
Brooklyn 17,Black,2024,67
Brooklyn 18,Black,2024,92
Queens 1,White,2024,196
Queens 2,Hispanic,2024,126
Queens 3,Hispanic,2024,105
Queens 4,Hispanic,2024,112
Queens 5,White,2024,181
Queens 6,White,2024,83
Queens 7,Asian,2024,148
Queens 8,Asian,2024,94
Queens 9,Hispanic,2024,100
Queens 10,Asian,2024,102
Queens 11,Asian,2024,58
Queens 12,Black,2024,129
Queens 13,Black,2024,80
Queens 14,Black,2024,58
Staten Island 1,White,2024,164
Staten Island 2,White,2024,112
Staten Island 3,White,2024,114
